step,object,x,y,zoom,page,question,answer,alt_text,layer1_button,layer1_content,layer2_button,layer2_content,clip_start,clip_end,loop
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,texto_alt,boton1,contenido1,boton2,contenido2,inicio_clip,fin_clip,bucle
1,library-outside,0.5000000000000002,0.5000000000000003,1,,Where Could Students Study?,"Study space can seem like an ordinary campus problem. But at UCSB in the 1990s, access to space became a visible source of student frustration and activism. ",,,,,,,,
2,overcrowding,0.4996299342105263,0.4982947948916409,1,,Why study space?,"During midterms and finals, study space becomes one of the most valuable resources on campus. Crowded tables and limited quiet space reveal how academic pressure is experienced physically.",,,,,,,,
3,ucen-expansion-memo,0.48317765745773583,0.4789966580611368,2.0006092799999995,,Was the library the only crowded space?,No. A 1992 memo about the UCEN Expansion Project warned that construction would temporarily eliminate meeting rooms and leave only a severely limited number of alternatives.,,,,,,,,
4,looking-for-a-meeting-room-ucen,0.5539740219069931,0.7355743882819034,1.8662400000000003,,What did expansion promise students?,"UCEN expansion promised more lounges, seating, meeting rooms, and student services. But during construction, students were directed elsewhere because available meeting space was limited.",,Learn more,where-could-students-7w29-learn-more.md,,,,,
5,ucen-survey-2,0.5255733735380121,0.622868829549364,1.4399999999999997,,Did students have a say in campus space?,"A student survey asked how the UCEN felt and functioned for students. The questions show that campus space was not only about size, but also whether students felt welcomed and served by it.",,,,,,,,
6,concerned-students-lib-occupation,0.48496021835066017,0.35423677128522807,2.1599999999999997,,What happened when students stopped waiting?,"In 1993, a group called Concerned Students organized a library occupation and demanded 24-hour access during Dead Week and Finals Week, along with expanded study space.",,,,,,,,
7,concerned-students-lib-occupation,0.3905886880258959,0.38958932541502617,2.9859839999999993,,Why keep the library open all night?,Students wanted access precisely when academic pressure was highest. Their demand for extended hours shows that having space mattered most during the periods when students were expected to perform under the greatest strain.,,Learn more,where-could-students-7w29-step7-layer1.md,,,,,
8,wake-up-open-24,0.4984430281440284,0.30858083975590045,1.4399999999999997,,How did students make people pay attention?,"Their flyers used blunt, urgent language: ""WAKE UP!"" Students turned a quiet problem of library access into a visible campus-wide demand.",,,,,,,,
9,wake-up-open-24,0.49491261407784803,0.7526534164220029,2.0735999999999994,,Why did students believe they were entitled to access?,"Students connected library access to the cost of their education. Their message was simple: if students paid for the university, they should be able to use the resources needed to succeed.",,Learn more,where-could-students-7w29-step9-layer1.md,,,,,
10,death-of-education,0.5437175882978906,0.33941350623899175,1.4399999999999997,,Why did library access become political?,"Students linked study space to larger concerns about public education, rising costs, and institutional priorities. To them, a closed or overcrowded library was evidence of a university failing its students.",,,,,,,,
11,daily-nexus-space,0.6769849508925018,0.4450312494444988,2.9859839999999997,,Did the study space shortage go away?,"Not completely. By 1998, UCSB reportedly had about 2,600 study spaces when enrollment suggested it needed closer to 4,750.",,Learn more,where-could-students-7w29-step11-layer1.md,,,,,
12,overcrowding,0.3821150790423003,0.5354697590291341,2.2500000000000004,,What has really changed?,"Students today still search for seats, quiet floors, and places to work during the busiest weeks of the quarter. The struggle over study space did not begin with us.",,,,,,,,
